product_id,name,brand,price,type
p00246,Bondi Sands Liquid Gold Self Tanning Oil 150ml,Bondi Sands,11.99,Oil
p00247,Indeed Labs Squalane Facial Oil 30ml,Indeed Labs,19.99,Oil
p00248,TanOrganic Self-Tanning Oil - Brown (100ml),TanOrganic,18.74,Oil
p00249,Caudalie VineActiv Overnight Detox Oil 30ml,Caudalie,30.0,Oil
p00250,Mama Mio The Tummy Rub Oil 200ml,Mama Mio,35.0,Oil
p00251,NUXE Sun Tanning Oil Face and Body SPF 30 (150ml),NUXE,19.5,Oil
p00252,Sarah Chapman Skinesis Supersize Overnight Facial Oil 30ml,Sarah Chapman,84.0,Oil
p00253,"JASON Vitamin E 32,000iu Oil - Scar & Stretch Mark Treatment 30ml",JASON,9.49,Oil
p00254,Bondi Sands Everyday Liquid Gold Gradual Tanning Oil 270ml,Bondi Sands,11.19,Oil
p00255,Trilogy Certified Organic Rosehip Oil 20ml,Trilogy,19.5,Oil
p00256,Elizabeth Arden Ceramide Cleansing Face Oil (195ml),Elizabeth Arden,25.0,Oil
p00257,Trilogy Certified Organic Rosehip Oil 45ml,Trilogy,34.5,Oil
p00258,BBB London Luscious Lash Oil 7.5ml,BBB London,24.0,Oil
p00259,PIXI Rose Oil Blend 30ml,PIXI,26.0,Oil
p00260,Sanctuary Spa Calming CBD Oil 45ml,Sanctuary Spa,12.5,Oil
p00261,Sukin Rose Hip Oil (25ml),Sukin,13.95,Oil
p00262,Sanctuary Spa 10-in-1 Super Secret Facial Oil 30ml,Sanctuary Spa,20.0,Oil
p00263,REN Clean Skincare Bio Retinoid Anti-Wrinkle Concentrate Oil,REN,47.0,Oil
p00264,BBB London Nourishing Brow Oil 11ml,BBB London,22.0,Oil
p00265,Sanctuary Spa Melt Away Cleansing Oil 150ml,Sanctuary Spa,12.0,Oil
p00266,DECLÉOR Aroma Nutrition Softening Dry Oil (100ml),DECLÉOR,28.0,Oil
p00267,Elemis Pro-Collagen Marine Oil 15ml,Elemis,67.0,Oil
p00268,DECLÉOR Aromessence Ylang Cananga Anti-Blemish Oil Serum,DECLÉOR,33.6,Oil
p00269,The Chemistry Brand Glow Oil 100ml,The Chemistry Brand,20.0,Oil
p00270,Sanctuary Spa Overnight Replenishing Miracle Oil 30ml,Sanctuary Spa,20.0,Oil
p00271,DHC Pore Cleansing Oil (150ml),DHC,25.0,Oil
p00272,L’Oréal Paris Extraordinary Oil Sleeping Oil Night Cream (50ml),L’Oréal,14.99,Oil
p00273,REN Clean Skincare Vita Mineral Omega 3 Optimum Skin Oil,REN,28.0,Oil
p00274,Bondi Sands Sunscreen SPF15 Oil 150ml,Bondi Sands,6.39,Oil
p00275,PIXI Jasmine Oil Blend 30ml,PIXI,26.0,Oil
p00276,Freezeframe Stretch Mark Eraser 80ml,Freezeframe,31.97,Oil
p00277,MONU Firming Fiji Facial Oil (180ml),MONU,26.95,Oil
p00278,Bondi Sands Sunscreen SPF30 Oil 150ml,Bondi Sands,6.39,Oil
p00279,L'Oréal Paris Extraordinary Oil Cream 50ml,L'Oréal Paris,14.99,Oil
p00280,Darphin The Revitalising Oil (50ml),Darphin,25.0,Oil
p00281,Balance Me Radiance Face Oil 30ml,Balance Me,24.0,Oil
p00282,AromaWorks Rejuvenate Face Serum Oil 30ml,AromaWorks,14.99,Oil
p00283,Peter Thomas Roth Oiless Oil 100% Purified Squalane,Peter Thomas Roth,32.0,Oil
p00284,Rodial Vitamin C Deluxe Drops 10ml,Rodial,27.0,Oil
p00285,Aurelia Probiotic Skincare Cell Repair Night Oil 50ml,Aurelia,49.6,Oil
p00286,Garnier Organic Lavandin Glow Oil 30ml,Garnier,11.99,Oil
p00287,Moroccanoil Shimmering Body Oil 50ml,Moroccanoil,37.0,Oil
p00288,LIXIRSKIN Night Switch Essential Lipids 15ml,LIXIRSKIN,24.0,Oil
p00289,Trilogy Rosehip Oil Antioxidant+ 30ml,Trilogy,31.5,Oil
p00290,Erno Laszlo Detoxifying Cleansing Oil 195ml,Erno,55.0,Oil
p00291,Manuka Doctor 24K Gold & Manuka Honey Face Oil 12ml,Manuka Doctor,15.99,Oil
p00292,Natio Ageless Rosehip Oil Cold Pressed 15ml,Natio,13.6,Oil
